Date,Scrip,Open,High,Low,Close,Volume
20231005,00DS30,2135.37001,2141.48297,2135.35663,2137.65539,3896796000
20231005,00DSES,1356.06862,1357.93902,1355.1665,1355.81762,3896796000
20231005,00DSEX,6262.78804,6271.9605,6255.69451,6261.7196,3896796000
20231005,1JANATAMF,6.1,6.1,6.1,6.1,25
20231005,1STPRIMFMF,14.7,14.7,14.3,14.6,13540
20231005,AAMRANET,51.4,51.8,50.5,51.3,245945
20231005,AAMRATECH,31.8,32,31.5,31.8,103991
20231005,ABB1STMF,5.2,5.2,5.2,5.2,2200
20231005,ABBANK,9.7,9.7,9.7,9.7,10104
20231005,ACFL,26.5,26.5,26.5,26.5,20
20231005,ACI,260.2,260.2,260.2,260.2,1
20231005,ACIFORMULA,155,155,155,155,39
20231005,ACMELAB,85,85,85,85,648
20231005,ACMEPL,35.4,35.4,35.4,35.4,10
20231005,ACTIVEFINE,19.3,19.3,19.3,19.3,350
20231005,ADNTEL,125.4,127.2,121.5,122.5,186581
20231005,ADVENT,22.6,22.9,22.6,22.7,388053
20231005,AFTABAUTO,24.7,25,24.6,24.6,50455
20231005,AGNISYSL,25.3,25.4,25,25.2,332208
20231005,AGRANINS,41,41,39.5,40,337816
20231005,AIL,74,74,70.1,70.9,594918
20231005,AL-HAJTEX,172,172,166.7,169.2,64526
20231005,ALARABANK,23.7,23.8,23.7,23.7,170552
20231005,ALIF,13.3,13.3,13.3,13.3,10
20231005,AMANFEED,33.5,33.5,33.5,33.5,5
20231005,AMBEEPHA,852.5,906.5,846,887.1,40510
20231005,AMCL(PRAN),271.4,272.2,268,270,15671
20231005,ANLIMAYARN,32.7,33.3,32.5,33,48964
20231005,ANWARGALV,213.3,213.3,213.3,213.3,142
20231005,AOL,36.5,36.5,36.5,36.5,10
20231005,APEXFOODS,385.5,387,363.1,367,116799
20231005,APEXFOOT,292,297.5,291.5,293.3,52720
20231005,APEXSPINN,126.2,132.9,123.8,131.1,74990
20231005,APEXTANRY,105.3,105.5,104.5,104.8,4045
20231005,APOLOISPAT,8.2,8.2,8.2,8.2,108
20231005,ARAMIT,282,288.3,280,286,21898
20231005,ARAMITCEM,24.9,25.2,24.2,24.4,162771
20231005,ARGONDENIM,18.2,18.2,18.2,18.2,447
20231005,ASIAINS,53.5,54.2,52.7,53.2,284303
20231005,ASIAPACINS,60.3,60.3,57.1,57.5,264404
20231005,ATCSLGF,9.7,9.7,9.7,9.7,51
20231005,AZIZPIPES,100,100,97.4,97.9,50562
20231005,BANGAS,115.4,117.7,115,115.7,43314
20231005,BANKASIA,20.2,20.2,20.2,20.2,1021
20231005,BARKAPOWER,21.3,21.3,21.3,21.3,70
20231005,BATASHOE,970,975,970,974.8,512
20231005,BATBC,518.7,518.7,518.7,518.7,604
20231005,BBS,21.6,21.6,21.6,21.6,70
20231005,BBSCABLES,49.9,49.9,49.9,49.9,30
20231005,BDAUTOCA,137.5,139,135,135.9,30406
20231005,BDCOM,36.3,36.7,35.8,36.3,1104468
20231005,BDTHAI,12.8,12.9,12.8,12.8,108547
20231005,BDTHAIFOOD,34.8,34.8,34.8,34.8,155
20231005,BDWELDING,22.1,22.3,22.1,22.1,102811
20231005,BEACHHATCH,45,46,43.9,45.8,1112188
20231005,BENGALWTL,23.3,25.3,23.3,24.6,1257958
20231005,BERGERPBL,1750.1,1765,1750,1761.9,581
20231005,BEXGSUKUK,85,85,85,85,25
20231005,BEXIMCO,115.6,115.6,115.6,115.6,839
20231005,BGIC,65.3,65.3,60.8,61.1,59307
20231005,BNICL,64.4,65.4,62.6,63.4,507176
20231005,BPML,65.8,68.4,65.2,67.1,313731
20231005,BPPL,29.3,29.3,29.3,29.3,3
20231005,BRACBANK,35.8,35.8,35.8,35.8,16333
20231005,BSC,107.8,118,107.7,117,3044762
20231005,BSCCL,218.9,218.9,218.9,218.9,230
20231005,BSRMLTD,90,90,90,90,1245
20231005,BSRMSTEEL,63.9,63.9,63.9,63.9,1231
20231005,BXPHARMA,146.2,146.2,146.2,146.2,18
20231005,CAPMBDBLMF,9.9,9.9,9.9,9.9,8900
20231005,CAPMIBBLMF,10.1,10.2,9.9,10,151042
20231005,CENTRALINS,39,39.8,38.6,39.3,110524
20231005,CENTRALPHL,11.2,11.3,11,11.1,378860
20231005,CITYBANK,21.4,21.4,21.4,21.4,124
20231005,CITYGENINS,50.2,50.8,50,50.4,564098
20231005,CLICL,55.6,56.4,55.1,55.8,22549
20231005,CNATEX,10.2,10.2,10.2,10.2,7
20231005,CONTININS,42.8,43.1,41,41.5,896374
20231005,CRYSTALINS,107.9,108.4,100.3,103.8,317629
20231005,CVOPRL,167,168.6,165.7,166,74271
20231005,DACCADYE,13.2,13.2,13.2,13.2,51
20231005,DAFODILCOM,98.4,99.3,96.6,98.3,267294
20231005,DELTALIFE,136.5,138,136.5,136.5,400541
20231005,DESCO,36.6,36.6,36.6,36.6,126
20231005,DESHBANDHU,29,30.5,28,29.8,4303667
20231005,DGIC,35,35.5,34.4,34.9,340198
20231005,DHAKABANK,12.5,12.5,12.5,12.5,2620
20231005,DHAKAINS,57,58,56.1,56.4,74706
20231005,DOMINAGE,16.2,16.2,16.2,16.2,43005
20231005,DOREENPWR,61,61,61,61,2
20231005,DSHGARME,111.4,111.5,111.4,111.4,7127
20231005,DSSL,17,17,17,17,150
20231005,EASTERNINS,61,62.7,58.6,59.7,290112
20231005,EASTLAND,28.3,28.3,26.5,27.8,243699
20231005,EASTRNLUB,1784,1825,1768.5,1790.8,8220
20231005,EBL,29.4,29.4,29.4,29.4,38
20231005,ECABLES,181.3,181.3,181.3,181.3,21128
20231005,EGEN,45.2,45.2,45.2,45.2,956
20231005,EHL,90.9,93.9,90.7,92,557415
20231005,EIL,32.8,32.8,31.1,31.4,350141
20231005,EMERALDOIL,117,120.7,107.7,111.1,1366217
20231005,EPGL,34.5,34.5,34.5,34.5,1000
20231005,ETL,9.4,9.4,9.4,9.4,81
20231005,EXIM1STMF,5.8,5.8,5.8,5.8,26
20231005,EXIMBANK,10.4,10.4,10.4,10.4,3300
20231005,FAMILYTEX,4.9,4.9,4.9,4.9,10000
20231005,FARCHEM,10.6,10.6,10.6,10.6,1856
20231005,FAREASTLIF,75,75,75,75,4
20231005,FASFIN,5.4,5.4,5.4,5.4,2010
20231005,FBFIF,5,5,5,5,490
20231005,FEDERALINS,26.8,26.9,26.2,26.3,181385
20231005,FEKDIL,17.2,17.2,17.2,17.2,3131
20231005,FINEFOODS,118.1,124.1,118.1,123.6,296757
20231005,FIRSTFIN,5.5,5.5,5.5,5.5,749
20231005,FIRSTSBANK,8.9,8.9,8.9,8.9,255
20231005,FORTUNE,75.7,75.7,75.7,75.7,1278
20231005,FUWANGCER,17.4,17.4,17.4,17.4,1
20231005,FUWANGFOOD,30.6,31,29.6,30,3327782
20231005,GBBPOWER,15.1,15.1,15.1,15.1,73
20231005,GEMINISEA,776.2,808,773,803.3,142403
20231005,GENEXIL,72.1,73.4,72.1,72.4,234860
20231005,GENNEXT,6,6,6,6,5635
20231005,GIB,8.6,8.6,8.6,8.6,829
20231005,GLOBALINS,33.9,34.1,33.3,33.6,101277
20231005,GP,286.6,286.6,286.6,286.6,480
20231005,GPHISPAT,44.8,44.8,44.8,44.8,330
20231005,GQBALLPEN,111.9,113.9,108.5,109.3,43370
20231005,GRAMEENS2,15.2,15.2,15.2,15.2,3
20231005,GREENDELT,73.8,74.2,69.8,70.3,191802
20231005,GSPFINANCE,30.3,30.3,30.3,30.3,1
20231005,HAKKANIPUL,57.8,59.4,57.6,57.9,47066
20231005,HEIDELBCEM,253.5,258.9,253,256.8,91682
20231005,HFL,17.5,17.5,17.5,17.5,110616
20231005,HRTEX,117.1,123.9,117.1,120.8,842005
20231005,HWAWELLTEX,54.6,56,54.6,55.5,8897
20231005,IBNSINA,286.6,286.6,286.6,286.6,61
20231005,IBP,17,17,17,17,2
20231005,ICB,87.6,87.6,87.6,87.6,100
20231005,ICB3RDNRB,6.5,6.5,6.5,6.5,20
20231005,ICBEPMF1S1,7.1,7.1,7.1,7.1,600
20231005,ICICL,32.5,32.6,32,32.4,187165
20231005,IDLC,46.5,46.5,46.5,46.5,200
20231005,IFADAUTOS,44.1,44.1,44.1,44.1,100
20231005,IFIC,11.2,11.2,11.2,11.2,329
20231005,IFIC1STMF,5.1,5.1,5.1,5.1,1000
20231005,ILFSL,5.6,5.6,5.6,5.6,1024
20231005,IMAMBUTTON,135.3,138.9,127,131.3,56536
20231005,INTECH,26.2,26.5,25.1,26,226246
20231005,INTRACO,35.5,36.2,35,35.6,666454
20231005,ISLAMIBANK,32.6,32.6,32.6,32.6,1160
20231005,ISLAMIINS,49.3,49.3,47.1,47.7,54463
20231005,ISNLTD,50.8,51.4,49.7,50,62283
20231005,ITC,37.4,37.6,37,37.1,300418
20231005,JAMUNABANK,20.9,20.9,20.9,20.9,6043
20231005,JAMUNAOIL,177.1,177.8,176.3,176.7,11882
20231005,JANATAINS,39.8,40.2,38.5,38.8,451346
20231005,JHRML,74.1,75.7,73.8,74.9,198395
20231005,JMISMDL,255.5,255.5,255.5,255.5,100
20231005,JUTESPINN,354,364.5,350.7,357.2,3380
20231005,KARNAPHULI,37.8,38.2,36.3,37.7,801350
20231005,KAY&QUE,208.9,208.9,197,199.8,22756
20231005,KBPPWBIL,27.3,27.7,26.2,26.6,1222377
20231005,KEYACOSMET,6.4,6.4,6.4,6.4,6148
20231005,KOHINOOR,446.1,455,446.1,449.1,13075
20231005,KPPL,9.3,10.2,9.3,10.2,2056162
20231005,LANKABAFIN,26,26,26,26,60
20231005,LEGACYFOOT,83.3,84.8,82.6,82.8,306172
20231005,LHBL,70.7,71.1,69.9,70,2271781
20231005,LIBRAINFU,1005,1054.2,993.7,1054.2,48749
20231005,LINDEBD,1397.7,1397.7,1397.7,1397.7,6
20231005,LOVELLO,37.9,37.9,37.9,37.9,60
20231005,LRBDL,35.1,35.1,35.1,35.1,1104
20231005,LRGLOBMF1,6.4,6.4,6.4,6.4,13750
20231005,MAKSONSPIN,22.3,22.3,22.3,22.3,83
20231005,MALEKSPIN,27.1,27.1,27.1,27.1,15
20231005,MARICO,2500,2509,2500,2502.5,1466
20231005,MATINSPINN,77.6,77.6,77.6,77.6,165
20231005,MBL1STMF,6.6,6.6,6.6,6.6,1
20231005,MEGCONMILK,29.3,29.5,28.8,29.3,79423
20231005,MEGHNACEM,63.8,63.8,60.5,60.7,13273
20231005,MEGHNAINS,43,43.7,41.7,42.4,219676
20231005,MEGHNALIFE,76,77.1,75,75.7,313964
20231005,MEGHNAPET,36.9,37.9,35.9,36.2,69203
20231005,MERCANBANK,13.3,13.3,13.3,13.3,11796
20231005,MERCINS,35.7,35.7,34.8,35,93336
20231005,METROSPIN,25.3,25.3,25.3,25.3,2550
20231005,MIDLANDBNK,12.1,12.2,12,12.1,399666
20231005,MIRACLEIND,43.3,44.5,42.5,42.7,1053393
20231005,MIRAKHTER,50.8,50.8,50.8,50.8,50
20231005,MJLBD,86.9,87.3,86.8,87,3348
20231005,MLDYEING,24.8,24.8,24.8,24.8,1
20231005,MONNOAGML,866,884.8,865,881.2,28982
20231005,MONNOCERA,97.9,97.9,97.9,97.9,701
20231005,MONOSPOOL,251,262.5,251,259,26036
20231005,MPETROLEUM,202.3,203.4,202.3,203.2,7236
20231005,MTB,15.5,15.5,15.5,15.5,10
20231005,NAVANACNG,23.3,23.6,23.3,23.5,46461
20231005,NAVANAPHAR,88.6,90.5,88.6,89,123389
20231005,NBL,8.3,8.3,8.3,8.3,2002647
20231005,NCCBANK,13.1,13.1,13.1,13.1,758
20231005,NCCBLMF1,6.9,6.9,6.8,6.8,34000
20231005,NEWLINE,45.1,45.1,45.1,45.1,22
20231005,NFML,13.6,13.8,13.4,13.5,104258
20231005,NHFIL,41.8,41.8,41.8,41.8,50
20231005,NITOLINS,42.5,42.6,41,41.5,84089
20231005,NORTHERN,194.3,196,194.1,194.1,8894
20231005,NORTHRNINS,48.1,49,47,47.9,72523
20231005,NRBCBANK,16.8,16.8,16.8,16.8,488
20231005,NTC,431.9,447.9,423,437.9,19787
20231005,NTLTUBES,79.5,79.5,79.5,79.5,1223
20231005,NURANI,7,7,7,7,1
20231005,OAL,9.9,9.9,9.9,9.9,144568
20231005,OIMEX,19.3,20.8,19.3,20.3,1055487
