Date,Scrip,Open,High,Low,Close,Volume
20230111,00DS30,2197.58803,2199.84134,2195.71206,2198.76399,5324162000
20230111,00DSES,1357.23418,1359.50091,1355.89282,1357.68713,5324162000
20230111,00DSEX,6205.27788,6217.44985,6204.64589,6209.52206,5324162000
20230111,1STPRIMFMF,15.6,15.9,15.6,15.6,393472
20230111,AAMRANET,55,56.8,55,55.5,1567959
20230111,AAMRATECH,40.7,41.3,39.8,40.2,787706
20230111,ABBANK,9.9,9.9,9.9,9.9,3444
20230111,ACFL,26.5,26.5,26.5,26.5,240
20230111,ACI,260.2,260.2,260.2,260.2,92
20230111,ACIFORMULA,155,155.5,155,155,92746
20230111,ACMELAB,85,85,85,85,15392
20230111,ACMEPL,35.4,35.4,35.4,35.4,2
20230111,ACTIVEFINE,19.3,19.3,19.3,19.3,1001
20230111,ADNTEL,120.1,124.9,120,123.4,611763
20230111,ADVENT,26,26.2,25.3,25.4,2740369
20230111,AFCAGRO,23.5,23.5,23.5,23.5,1000
20230111,AFTABAUTO,24.9,24.9,24.5,24.5,87892
20230111,AGNISYSL,23,23.2,22.8,22.8,850728
20230111,AGRANINS,36.6,36.9,36.6,36.6,11661
20230111,AIBL1STIMF,7.6,7.6,7.6,7.6,500
20230111,AIL,53.4,53.4,53.4,53.4,3424
20230111,ALARABANK,23.6,23.6,23.6,23.6,65
20230111,ALLTEX,21.8,21.8,21.8,21.8,438
20230111,AMANFEED,33.5,33.5,33.5,33.5,137
20230111,AMBEEPHA,470,500,470,480.9,2333
20230111,AMCL(PRAN),258,258,250.3,250.3,11868
20230111,ANLIMAYARN,32.9,34,32.9,32.9,233978
20230111,ANWARGALV,213.3,213.9,213.3,213.3,46202
20230111,APEXFOODS,273.4,283.4,273.4,275.6,92667
20230111,APEXFOOT,262,264.1,259,259.4,69274
20230111,APEXSPINN,114.4,118.9,114.4,115.6,26741
20230111,APEXTANRY,115.8,115.8,115.8,115.8,227
20230111,APOLOISPAT,8.2,8.2,8.2,8.2,482
20230111,ARAMIT,279.9,279.9,275.1,277,4543
20230111,ARAMITCEM,28.3,28.3,28.3,28.3,1
20230111,ASIAINS,48.9,48.9,48.9,48.9,58621
20230111,ASIAPACINS,40.5,40.9,40.5,40.7,48096
20230111,ATLASBANG,104.2,104.2,104.2,104.2,1
20230111,AZIZPIPES,93,94,92.8,92.8,38501
20230111,BANGAS,114,116.1,113,113.3,27838
20230111,BARKAPOWER,21.3,21.3,21.3,21.3,100
20230111,BATASHOE,950,955,942.5,952.2,131
20230111,BATBC,518.7,518.7,518.7,518.7,4410
20230111,BBS,21.6,21.6,21.6,21.6,1198
20230111,BBSCABLES,49.9,49.9,49.9,49.9,302
20230111,BDAUTOCA,132.1,137.7,132.1,134.4,240393
20230111,BDCOM,40.1,41.5,39.8,40,2379752
20230111,BDLAMPS,252.2,254.8,252.2,252.2,23280
20230111,BDTHAI,15.6,15.6,15.6,15.6,58166
20230111,BDTHAIFOOD,46.8,47.2,45.5,45.7,821149
20230111,BDWELDING,26.3,26.3,26.3,26.3,5057
20230111,BEACHHATCH,37.3,37.3,37.3,37.3,1241
20230111,BEACONPHAR,286,289.8,282.8,288.3,79968
20230111,BENGALWTL,31.1,31.4,30.2,30.9,1188469
20230111,BERGERPBL,1730,1737.7,1730,1733.4,206
20230111,BEXGSUKUK,86,86,85,85,24073
20230111,BEXIMCO,115.6,115.6,115.6,115.6,4484
20230111,BGIC,64.5,65.6,64.1,65.5,132900
20230111,BNICL,58,58.6,57.7,58,214453
20230111,BPML,84,89,83.3,85.9,3731469
20230111,BPPL,29.3,29.3,29.3,29.3,5600
20230111,BRACBANK,38.5,38.5,38.5,38.5,10000
20230111,BSC,121.5,126,121.5,124.4,3319436
20230111,BSCCL,218.9,218.9,218.9,218.9,217
20230111,BSRMLTD,90,90,90,90,55
20230111,BSRMSTEEL,63.9,63.9,63.9,63.9,752
20230111,BXPHARMA,146.9,148.6,146.8,147.4,759545
20230111,CAPMIBBLMF,12.9,12.9,12.9,12.9,505
20230111,CENTRALINS,36.5,36.7,36.5,36.5,18254
20230111,CENTRALPHL,11.6,11.6,11.2,11.2,392129
20230111,CITYBANK,21.8,21.8,21.8,21.8,4407
20230111,CITYGENINS,25.7,26.9,25.7,25.8,61226
20230111,CLICL,61,63.8,61,62.5,1210458
20230111,CONFIDCEM,89,89,89,89,90
20230111,CONTININS,30.1,30.2,30,30,27100
20230111,COPPERTECH,36.9,36.9,36.9,36.9,4058
20230111,CRYSTALINS,39.8,40,39.6,39.6,60779
20230111,CVOPRL,163.7,163.7,163.7,163.7,30
20230111,DACCADYE,16.5,16.5,16.5,16.5,2345
20230111,DBH1STMF,6.9,6.9,6.9,6.9,5500
20230111,DELTALIFE,136.5,136.5,136.5,136.5,54545
20230111,DELTASPINN,8.5,8.5,8.5,8.5,514
20230111,DESCO,36.6,36.6,36.6,36.6,1518
20230111,DESHBANDHU,17.1,17.1,17.1,17.1,4522
20230111,DGIC,31.5,32.2,31.4,31.4,310578
20230111,DHAKABANK,13.2,13.2,13.2,13.2,6546
20230111,DHAKAINS,44.7,44.7,44.3,44.3,51050
20230111,DOMINAGE,19.5,19.5,19.5,19.5,386382
20230111,DOREENPWR,61,61,61,61,151
20230111,DSHGARME,120.5,120.5,120.5,120.5,89
20230111,DSSL,17,17,17,17,10
20230111,DULAMIACOT,77.1,77.1,77.1,77.1,1
20230111,DUTCHBANGL,62.6,62.6,62.6,62.6,6398
20230111,EASTERNINS,47.7,48.5,47.6,47.9,44899
20230111,EASTLAND,24.4,24.4,23.6,23.7,38258
20230111,EASTRNLUB,1466.6,1530,1466.6,1487.5,9431
20230111,EBL,31.8,31.8,31.8,31.8,2005
20230111,EBLNRBMF,6.5,6.5,6.5,6.5,50
20230111,ECABLES,192.1,194.9,188,188.6,56935
20230111,EGEN,55,55.6,54.3,55.1,320567
20230111,EHL,83.3,86.7,82.6,84.9,1584153
20230111,EIL,27.2,27.2,26.4,26.6,676
20230111,EMERALDOIL,32.2,32.2,32.2,32.2,950
20230111,ENVOYTEX,43.9,43.9,43.9,43.9,800
20230111,EPGL,34.5,34.5,34.5,34.5,20
20230111,ESQUIRENIT,34.5,34.5,34.5,34.5,10200
20230111,ETL,9.4,9.4,9.4,9.4,75400
20230111,EXIMBANK,10.4,10.4,10.4,10.4,22337
20230111,FAMILYTEX,4.9,4.9,4.9,4.9,10
20230111,FARCHEM,10.6,10.6,10.6,10.6,1745
20230111,FAREASTFIN,6.1,6.1,6.1,6.1,46
20230111,FAREASTLIF,80.3,83,79.9,81,848785
20230111,FASFIN,5.8,5.8,5.8,5.8,3283
20230111,FBFIF,5,5,5,5,344025
20230111,FEDERALINS,23,23,23,23,18313
20230111,FINEFOODS,62,62,59.5,59.5,18184
20230111,FIRSTFIN,5.5,5.5,5.5,5.5,1016
20230111,FIRSTSBANK,9.8,9.8,9.8,9.8,3375
20230111,FORTUNE,75.7,75.7,75.7,75.7,4
20230111,FUWANGCER,17.4,17.4,17.4,17.4,27
20230111,FUWANGFOOD,23.5,23.5,23.5,23.5,75
20230111,GBBPOWER,18.4,18.4,18.4,18.4,105
20230111,GEMINISEA,358,372.5,357,359.4,122615
20230111,GENEXIL,85,87.3,84.5,85.6,2594888
20230111,GENNEXT,6,6,6,6,2595
20230111,GHCL,35.1,35.1,35.1,35.1,10
