Date,Scrip,Open,High,Low,Close,Volume
20230503,00DS30,2206.12355,2210.12077,2203.69155,2204.74543,8635070000
20230503,00DSES,1367.76055,1372.95254,1366.77466,1367.36961,8635070000
20230503,00DSEX,6270.77296,6283.94676,6267.58089,6269.16166,8635070000
20230503,1JANATAMF,6.1,6.1,6.1,6.1,40000
20230503,1STPRIMFMF,13.8,13.8,13.8,13.8,16
20230503,AAMRANET,84.7,85.7,83.9,84.5,2573987
20230503,AAMRATECH,38.1,38.6,37.2,37.4,1294156
20230503,ABB1STMF,5.2,5.2,5.2,5.2,16020
20230503,ABBANK,9.9,9.9,9.9,9.9,2099
20230503,ACFL,26.5,26.5,26.5,26.5,1003
20230503,ACI,260.2,260.2,260.2,260.2,410
20230503,ACIFORMULA,156,158.6,155.2,156.3,63787
20230503,ACMELAB,85,85,85,85,39641
20230503,ACMEPL,35.4,35.4,35.4,35.4,5010
20230503,ACTIVEFINE,19.3,19.3,19.3,19.3,805
20230503,ADNTEL,142,144.7,137.1,137.8,788101
20230503,ADVENT,23.5,23.7,22.9,23.2,1085379
20230503,AFCAGRO,23.5,23.5,23.5,23.5,45
20230503,AFTABAUTO,25.8,26.3,25.6,25.6,274904
20230503,AGNISYSL,24.7,25.4,24.3,24.6,3666541
20230503,AGRANINS,33.8,33.8,33.8,33.8,8940
20230503,AIBL1STIMF,7.3,7.3,7.3,7.3,11245
20230503,AL-HAJTEX,159,164,159,162,82956
20230503,ALARABANK,24.8,25,24.7,25,168779
20230503,ALIF,13.3,13.3,13.3,13.3,1
20230503,AMANFEED,33.5,33.5,33.5,33.5,1
20230503,AMBEEPHA,530,542,525,529.2,12761
20230503,AMCL(PRAN),274.6,274.6,267,268,67243
20230503,ANLIMAYARN,34.1,35.5,34,35.1,361971
20230503,ANWARGALV,213.3,213.3,213.3,213.3,7194
20230503,AOL,36.5,36.5,36.5,36.5,30
20230503,APEXFOODS,388,418,378.6,383.8,304038
20230503,APEXFOOT,326.4,343,326.4,332.1,276375
20230503,APEXSPINN,125.9,128.7,124.2,125.6,78607
20230503,APEXTANRY,103.3,107,103.3,105.1,16761
20230503,APOLOISPAT,8.2,8.2,8.2,8.2,1639
20230503,ARAMIT,261.1,267,261,261.4,6828
20230503,ARAMITCEM,22.8,24,22.8,23.7,238074
20230503,ASIAINS,48.9,48.9,48.9,48.9,2032
20230503,ASIAPACINS,44,44.9,43.7,43.9,65593
20230503,ATLASBANG,104.2,104.2,104.2,104.2,258
20230503,AZIZPIPES,89.7,89.7,86.1,86.6,42436
20230503,BANGAS,123.8,123.8,119,119.4,45387
20230503,BANKASIA,20.2,20.2,20.2,20.2,500
20230503,BARKAPOWER,21.3,21.3,21.3,21.3,476
20230503,BATASHOE,980,1001,977.5,998.4,1582
20230503,BATBC,518.7,518.7,518.7,518.7,824
20230503,BBS,21.6,21.6,21.6,21.6,85
20230503,BBSCABLES,49.9,49.9,49.9,49.9,113
20230503,BDAUTOCA,153,153,140.2,141.5,123416
20230503,BDCOM,40.2,41,39.7,39.9,1959172
20230503,BDFINANCE,44.1,44.1,44.1,44.1,1200
20230503,BDLAMPS,252.2,252.2,252.2,252.2,3736
20230503,BDTHAI,13.8,14.8,13.8,14.6,1020064
20230503,BDTHAIFOOD,37.7,38.3,37.5,37.6,571671
20230503,BDWELDING,26,28.4,26,28.4,1871032
20230503,BEACHHATCH,44.3,45.9,43.4,44,2267727
20230503,BEACONPHAR,245,245,245,245,1423
20230503,BENGALWTL,26.3,26.6,25.8,25.9,600392
20230503,BERGERPBL,1764,1780,1762,1774.8,3363
20230503,BEXGSUKUK,85,85,85,85,1840
20230503,BEXIMCO,115.6,115.6,115.6,115.6,198
20230503,BGIC,52.5,52.5,50,51.3,16135
20230503,BIFC,9.5,9.5,9.5,9.5,8329
20230503,BNICL,56.7,56.7,56.7,56.7,1834
20230503,BPML,83.3,84.6,82.7,82.9,2220155
20230503,BPPL,29.3,29.3,29.3,29.3,903
20230503,BRACBANK,38.5,38.5,38.5,38.5,33207
20230503,BSC,126.8,128.7,126.8,127.2,1725581
20230503,BSCCL,218.9,218.9,218.9,218.9,671
20230503,BSRMLTD,90,90,90,90,327
20230503,BSRMSTEEL,63.9,63.9,63.9,63.9,5810
20230503,BXPHARMA,146.2,146.2,146.2,146.2,1203
20230503,CAPMBDBLMF,9.9,9.9,9.9,9.9,1000
20230503,CAPMIBBLMF,10.2,10.3,10.1,10.1,100102
20230503,CENTRALINS,35.8,35.8,35.8,35.8,4061
20230503,CENTRALPHL,10.3,10.7,10.3,10.5,530497
