,1_week,2_week,3_week,1_month,2_month,6_month,12_month
Mean,1.08,1.63,2.26,3.36,3.89,12.86,44.41
Median,0.48,0.78,1.33,1.9,3.21,9.3,18.66
Range,9.38,8.84,13.75,23.02,18.49,83.31,476.42
Min,0.01,0.0,0.01,0.03,0.1,1.02,0.75
Max,9.38,8.84,13.77,23.05,18.59,84.33,477.17
Standard Deviation,2.02,2.2,2.95,5.03,3.5,15.37,105.93
