ticker,mu,sigma,mu_annualized,sigma_annualized
00DS30,-0.0005905814300615086,0.007127640544198445,-0.14705477608531564,0.11247227068081303
00DSEX,-0.0003507459025444767,0.007002111625095822,-0.0873357297335747,0.11049145774839433
BATBC,-0.0008560165592283689,0.008182284773425768,-0.21314812324786386,0.12911427591186558
BBSCABLES,-0.0004933433781832918,0.01761267655313462,-0.12284250116763966,0.2779233481842955
BEACONPHAR,0.0006285212186220709,0.028389856663828435,0.15650178343689566,0.4479843818558725
BEXIMCO,-0.0010892005830732449,0.017514025484657202,-0.271210945185238,0.27636666058088166
BRACBANK,-0.0015100471056410767,0.011428259953304825,-0.3760017293046281,0.18033490029530444
BSC,0.0019044916088609282,0.03686961988999719,0.4742184106063711,0.5817927885745803
BSCCL,0.0001801412949457689,0.015484346934326553,0.04485518244149646,0.24433887327984558
BSRMLTD,-0.0005742821074805307,0.013532841080130425,-0.14299624476265216,0.21354463031721574
BXPHARMA,-0.0011737867707371347,0.01799367027853203,-0.29227290591354654,0.2839353277650374
CITYBANK,-0.0009638009745953585,0.01315652038977978,-0.23998644267424427,0.20760638998572772
DELTALIFE,-0.0015160293971610496,0.02644086783365719,-0.37749131989310136,0.41722985686241937
FORTUNE,-0.0009038984271227674,0.021625587188795294,-0.22507070835356907,0.3412460099309391
GP,-0.0008326901628724487,0.00833039946367401,-0.20733985055523974,0.13145148630148948
GPHISPAT,-0.0007208638661861347,0.017630358036267803,-0.17949510268034755,0.27820235728199927
IDLC,-0.001071452446977035,0.013699812257893577,-0.2667916592972817,0.21617939106094558
IFIC,-0.0016944376188154735,0.017144244392698845,-0.4219149670850529,0.2705316133714318
ISLAMIBANK,0.0001018303274527722,0.008117906375726232,0.025355751535740278,0.1280984019312462
LHBL,-0.0004350236877354433,0.019423803923398673,-0.10832089824612538,0.3065024560338869
MPETROLEUM,-2.5205500432561282e-05,0.009614047078213806,-0.006276169607707759,0.15170710400078746
OLYMPIC,-0.0010731752527287297,0.01959780471435265,-0.26722063792945366,0.3092481422027525
ORIONPHARM,-0.0004915127894330916,0.03352233923704664,-0.12238668456883982,0.5289735907897345
POWERGRID,-0.0005826784747142858,0.017961227857916914,-0.14508694020385715,0.28342339500266844
RENATA,-0.00030692558612764663,0.006125134794721842,-0.07642447094578401,0.09665299678294788
ROBI,-0.0006158506436442885,0.01641370076821024,-0.15334681026742783,0.2590038294199103
SEAPEARL,0.005968955906624839,0.03328229619317994,1.486270020749585,0.5251857754478404
SOUTHEASTB,-0.0005419836982819509,0.00806591643774891,-0.13495394087220577,0.1272780145477068
SQURPHARMA,-0.00011892382389445917,0.006088251388291237,-0.029612032149720333,0.09607098644643196
TITASGAS,0.00048567203502525725,0.019670753227847265,0.12093233672128906,0.3103992503295796
UNIQUEHRL,0.0004959238235211295,0.028809601331310643,0.12348503205676126,0.45460784098868656
UPGDCL,-0.0002468083577252385,0.007104716182596668,-0.06145528107358438,0.11211053035632956
