date,00DS30,00DSEX,BATBC,BBSCABLES,BEACONPHAR,BEXIMCO,BRACBANK,BSC,BSCCL,BSRMLTD,BXPHARMA,CITYBANK,DELTALIFE,FORTUNE,GP,GPHISPAT,IDLC,IFIC,ISLAMIBANK,LHBL,MPETROLEUM,OLYMPIC,ORIONPHARM,POWERGRID,RENATA,ROBI,SEAPEARL,SOUTHEASTB,SQURPHARMA,TITASGAS,UNIQUEHRL,UPGDCL
2023-07-16,2029.3132531269741,5917.915253125916,463.01352063768104,46.74834119044945,338.1760407480788,99.52510714585794,31.57038942846633,150.17462181392162,223.5923299900727,82.80731076366347,124.64810715858182,19.229199438761363,111.67500162152292,66.15476862371872,257.0470604857868,40.4693515585283,40.03506212394381,9.18876763153572,33.45515151446202,61.07809268628164,198.04622491456234,107.88318325854144,76.97487794270045,48.164921568969916,1166.2882784068574,27.656546782927162,423.07302317119286,12.792424524324296,206.29622873768054,,59.90669785051067,225.4067842714429
2023-07-17,2027.7825249668733,5915.772461340496,462.53097944139216,46.71436422966683,338.29253592456735,99.43445918243529,31.52298166636727,150.4269471602822,223.64481540020836,82.73017189193574,124.48849841481552,19.21481027566056,111.48844198196554,66.05104506766163,256.80292466041544,40.43908528550626,39.9886308863011,9.173608887664185,33.452650595463865,61.042546051784456,198.05755170077285,107.78883220449367,76.99149772274691,48.12805289174856,1166.0120130901241,27.634749817865167,425.8775679857444,12.78442664607194,206.2643552431966,43.985063672879704,59.95459653834682,225.30375634911
2023-07-18,2026.4699866804312,5913.8900421386925,462.0912127412907,46.68073866867803,338.69533539977914,99.32249449839145,31.459418920719386,150.8056880895706,223.74320181825632,82.65828401200088,124.32849591817381,19.195031183647934,111.37122013063929,65.9757230896796,256.58411795158565,40.409884443204184,39.94254674110985,9.155191213539176,33.454221705144604,61.045077040731755,198.1003441324545,107.62953673037882,76.97117693621334,48.11962887527882,1165.712360212739,27.629610183837165,428.768426333726,12.778336296871327,206.2457666411508,,59.94885748647408,225.27151209140624
2023-07-19,2025.2846972589005,5910.986317416532,461.58182705741797,46.6415938674636,338.7765734966287,99.23775019322488,31.403582100279063,150.87329894482872,223.81521443631263,82.618580715978,124.13581968678935,19.176463865687477,111.23583692491185,65.90047115971225,256.40368360280513,40.387524163702736,39.87969591595266,9.140301206391673,33.459329991603326,61.0024949707315,198.0929926008011,107.50362005488935,76.9075614408442,48.101091280012085,1165.1402705148407,27.601742393109546,431.54571499855274,12.768210992380308,206.22311221273154,44.00195168229769,59.97538938865187,225.20894903366693
2023-07-20,2024.0245854464088,5908.811090562638,461.1624326447636,46.59665798608179,338.969267500591,99.14635357778349,31.357842855809885,151.10767697215505,223.87824992253212,82.57284470875989,123.93328659832068,19.15661830710913,111.0299791575284,65.82267819691666,256.13052540893335,40.34886279886624,39.83138817001994,9.122000093560876,33.465830851417486,60.97782082073531,198.0623550199152,107.41513135903448,76.81626278805302,48.06927533790985,1164.5149358459403,27.585466247783163,434.56531003626856,12.760125732613355,206.20290661104758,,59.98502519032515,225.0907251044604
2023-07-23,2022.656420676931,5907.03995643007,460.7397253821017,46.56611820871661,339.3182737040008,99.00927534414008,31.31568255781845,151.36051610539118,223.9722229646455,82.49918487666632,123.7983448715186,19.134264282889475,110.80234701354567,65.77264904889569,255.90958416992464,40.31480513493144,39.78303524357128,9.10729447382148,33.46366553781209,60.96475996001628,198.0702676263705,107.2375677280836,76.85993052334562,48.01300787914594,1164.0040542356412,27.57863599749086,437.0342027940719,12.752630872690167,206.20623207750486,44.01910962124126,59.99703945906951,225.0059291129299
2023-07-24,2020.862566909266,5904.913945227437,460.3952368925666,46.51743787921299,339.6718432910597,98.86211477048262,31.265846344384215,151.73195884224899,224.00083798690514,82.42767208730528,123.6307380132731,19.112253078475128,110.64055189430364,65.72033461651586,255.65948198412684,40.254943900763415,39.73008949718793,9.091900624426321,33.467813445457566,60.90760929745155,198.03779698068004,107.07516166169492,76.83204608983799,47.99479926013868,1163.593303380412,27.55373083445077,439.67509940093663,12.741917517857978,206.18084890998296,44.037361570052695,60.069367797628416,224.96981052731337
2023-07-25,2019.7707942625593,5901.6288200964245,459.99620407368,46.47612009725409,,98.7406306398711,31.220097027487768,152.03086491860478,223.95723576692984,82.3456294969358,123.5477460321999,19.094371245330763,110.51914592646015,65.65018748414185,255.42128578612045,40.233422368520635,39.673539213617,9.076312917217303,33.469284143152485,60.88478199565782,198.04136375726395,106.92508937493982,76.76525514883777,47.95072389966256,1163.267352208423,27.532822896482987,442.36084686810614,12.733308992121094,206.13323688223312,44.074156307994905,60.114833444462434,224.88900258443206
2023-07-26,2018.5984988627974,5899.4059595136,459.61502137602093,46.46743140088481,,98.63576992376215,31.171013235890765,152.30029778232233,223.96133098249757,82.2829113174568,123.38672693877055,19.07465674407835,110.33102046317929,65.56240309739854,255.20804258033698,40.19932879862546,39.629036712983854,9.06048107269501,33.4652095640453,60.8342865670984,198.06423983797976,106.78938008555485,76.71748709933293,47.92227192737936,1162.8861206290621,27.521911943926966,444.93246411482653,12.725046166599379,206.12637313923918,,60.11076496764801,224.82927363400097
2023-07-27,2017.5428303223916,5897.522071639975,459.2877233064636,46.4157644220193,,98.53929818827554,31.128843174886853,152.52361226154193,223.96525660724961,82.22138427216795,123.23756785543092,19.05221857796808,110.21792886031638,,254.99393454242758,40.16285361238774,39.57555677990508,9.042488484021185,33.46864700608236,60.81529293756555,198.03341375562732,106.68617837050357,76.62975970486518,47.87263085207952,1162.4340661800074,27.515513182776445,447.4107807658084,12.719948727891085,206.1035197634841,44.118267027095904,60.15102970310382,224.7250710326854
2023-07-30,2016.0213537285165,5895.452180363025,458.8890287480244,46.38906356123137,339.74491530742085,98.39685041781559,31.0728305723947,152.85739482864005,224.04358183884034,82.13688072166595,123.07210023823887,19.021248670267656,110.05879095707692,,254.7295102777776,40.11795205009951,39.53208547976252,9.023488652912611,33.47080532672428,60.805877075289224,197.97176438208234,106.55482345777057,76.6167744399617,47.850304867533104,1162.1000144006694,27.49781605117204,450.2737325881681,12.712395298479276,206.09896383337443,44.134900150824485,60.17540760798756,224.64523081570178
2023-07-31,2015.026428409395,5893.535774170349,458.39649435022426,46.383945270649285,340.0115110794205,98.2726705072481,31.023814175833273,153.1510410424565,224.06122038442967,82.07604312065476,122.89144893020261,19.00333459274773,109.90080812463674,65.46243565629463,254.5029500805578,40.09811424708898,39.46998826620356,9.007171062232313,,60.798474255326504,197.9607953657847,106.38606880940294,76.59096522646053,,1161.5658852617141,27.481741484891995,453.39671783286036,12.705168150759166,206.02478494483577,44.189546840676314,60.20555251145804,224.58996541806758
2023-08-01,2013.7867115276993,5891.299759900732,457.97156565188226,46.35934209845018,340.3024662422436,98.17175757804338,30.968198899294872,153.38850869064737,224.14688453892478,82.02423959558638,122.65774554364036,18.98460108173079,109.81487615697763,,254.32901859937408,40.055931683924506,39.41582219342168,8.991948354670445,33.476526528669986,60.74612689072383,197.8852327072829,106.23651314231428,76.62269889261695,47.81838648689771,1160.9652054693506,27.459788282518538,456.27930001632814,,205.9921348755395,44.22175437623418,60.202432651754506,224.54151800894434
2023-08-02,2012.6513921999328,5889.027203388773,457.59823126595086,46.32606713561786,,98.07589655957624,30.922956802424295,153.6899956205085,224.06909337878818,81.95932014638048,122.5127069224887,18.965912227385438,109.56698625446609,,254.11444032717017,40.01137687516934,39.374518479616675,8.97474023369202,33.47728742448836,60.729833924818024,197.85318812207467,106.1011557997189,76.53183124726147,47.76069838189299,1160.615052335131,27.439767854044177,458.8063871366413,12.697884265773652,205.98437158236194,,60.26547785769885,
2023-08-03,2011.512565839374,5887.748471421724,457.1274202925849,46.29821632668741,,97.9612074685241,30.876353337212745,154.11209207754092,224.12701717309537,,122.35099791886948,18.94329596955588,109.38739152436553,,253.9094211896516,39.990097904539795,,8.959425513540657,33.480540698922155,60.74013645328642,197.7940645860072,105.92850973735854,76.47571446034037,,1160.2204169329718,27.418447218639248,461.60930532891257,12.692279934020814,205.95032533517764,44.240211836710166,60.331863613669,224.479205812719
2023-08-06,2010.3756197230025,5885.036116453231,456.7642826563512,46.26936551623856,340.56498571347583,97.81050369061118,30.828933503572422,154.2496962380581,224.11942510459897,,122.2107345715253,18.931246570259805,109.24074924983313,,253.6535946087846,39.9515433114448,,8.940482441804111,33.4796980379553,60.723850276763585,197.790051084426,105.81441125064639,76.38778174516776,47.71896838696425,1159.8068791474159,27.387311818163383,464.3382424583371,12.68502078770597,205.94887749599488,44.30559156007901,60.35738431134858,224.4013738468823
