Date,Scrip,Open,High,Low,Close,Volume
20230528,00DS30,2198.50135,2203.23436,2198.24521,2199.69551,11744310000
20230528,00DSES,1370.77976,1374.59965,1370.24373,1371.06162,11744310000
20230528,00DSEX,6325.7318,6350.70724,6334.6714,6339.88419,11744310000
20230528,1JANATAMF,6.1,6.1,6.1,6.1,1452
20230528,1STPRIMFMF,14.6,15,14.1,14.8,381210
20230528,AAMRANET,77.5,78,76.6,76.8,1598668
20230528,AAMRATECH,36,36.5,35.3,35.5,605397
20230528,ABB1STMF,5.2,5.2,5.2,5.2,3398
20230528,ABBANK,9.9,9.9,9.9,9.9,1620
20230528,ACFL,26.5,26.5,26.5,26.5,8013
20230528,ACI,260.2,260.2,260.2,260.2,451
20230528,ACIFORMULA,158.5,160.3,157.5,157.7,130765
20230528,ACMELAB,86.8,86.8,85.6,86,459877
20230528,ACMEPL,35.4,35.4,35.4,35.4,250
20230528,ACTIVEFINE,19.3,19.3,19.3,19.3,1327
20230528,ADNTEL,128.7,128.7,121,124.1,610329
20230528,ADVENT,27,27.7,26.3,26.5,3805023
20230528,AFCAGRO,23.5,23.5,23.5,23.5,1000
20230528,AFTABAUTO,27.5,28.5,27.5,28,652381
20230528,AGNISYSL,26.7,27.2,26,26.1,3264025
20230528,AGRANINS,49.5,52.2,48.8,51.7,900123
20230528,AIBL1STIMF,7.3,7.3,7.3,7.3,1009
20230528,AIL,53.4,56.5,53.4,55.2,1242159
20230528,AL-HAJTEX,164.6,164.6,160.7,161.6,110069
20230528,ALARABANK,25.5,26,25.5,26,53086
20230528,ALIF,13.3,13.3,13.3,13.3,1310
20230528,ALLTEX,17.5,17.5,17.5,17.5,3140
20230528,AMANFEED,33.5,33.5,33.5,33.5,662
20230528,AMBEEPHA,533.5,548,533.5,534.8,2724
20230528,AMCL(PRAN),270.7,270.7,264.2,265,49176
20230528,ANLIMAYARN,36.1,36.5,35.7,35.9,151307
20230528,ANWARGALV,213.3,220,213.3,214.6,3357270
20230528,AOL,36.5,36.5,36.5,36.5,378320
20230528,APEXFOODS,427.9,429.9,400.2,403.1,210678
20230528,APEXFOOT,302.4,307.9,302.4,305.6,166564
20230528,APEXSPINN,135,135.7,128,129,118301
20230528,APEXTANRY,112.3,118.5,112.3,114.1,90993
20230528,APOLOISPAT,8.2,8.2,8.2,8.2,115600
20230528,ARAMIT,273,273,269.3,270.1,21616
20230528,ARAMITCEM,27.2,28.7,26.5,26.8,375920
20230528,ARGONDENIM,18.3,18.5,18.2,18.4,623365
20230528,ASIAINS,49,52,49,51,1106940
20230528,ASIAPACINS,52,55.8,51.6,55.3,582490
20230528,AZIZPIPES,98.6,100,95,95.5,115039
20230528,BANGAS,128.2,131,125.9,126.1,82097
20230528,BANKASIA,20.2,20.2,20.2,20.2,10200
20230528,BATASHOE,991,992,990,991.5,636
20230528,BATBC,518.7,518.7,518.7,518.7,3494
20230528,BAYLEASING,23.9,23.9,23.9,23.9,27
20230528,BBS,21.6,21.6,21.6,21.6,3180
20230528,BBSCABLES,49.9,49.9,49.9,49.9,1479
20230528,BDAUTOCA,152.5,152.5,145.5,146.1,130022
20230528,BDCOM,38.8,39.2,38.3,38.5,1493641
20230528,BDLAMPS,252.2,252.2,252.2,252.2,19234
20230528,BDTHAI,14.4,14.9,14.4,14.8,593653
20230528,BDTHAIFOOD,34.9,35.5,34.8,34.8,531535
20230528,BDWELDING,27.7,27.8,26.7,26.8,440928
20230528,BEACHHATCH,42.8,42.8,41.2,41.5,1389003
20230528,BEACONPHAR,245,245,245,245,95
20230528,BENGALWTL,26.5,26.9,26.3,26.4,676990
20230528,BERGERPBL,1777.8,1810,1777.1,1806.9,1740
20230528,BEXGSUKUK,85,85,85,85,8714
20230528,BEXIMCO,115.6,115.6,115.6,115.6,4080
20230528,BGIC,62,65,61.3,63,192884
20230528,BIFC,9.5,9.5,9.5,9.5,115
20230528,BNICL,59.9,63.1,59.6,62.2,1359873
20230528,BPML,79,81.9,79,80.8,2086814
20230528,BPPL,29.3,29.3,29.3,29.3,306
20230528,BRACBANK,35.8,35.8,35.8,35.8,12045
20230528,BSC,134.9,134.9,130.1,131.7,1812073
20230528,BSCCL,218.9,218.9,218.9,218.9,4678
20230528,BSRMLTD,90,90,90,90,2645
20230528,BSRMSTEEL,63.9,64,63.9,63.9,238962
20230528,BXPHARMA,146.2,146.2,146.2,146.2,5599
20230528,CAPMBDBLMF,9.9,9.9,9.9,9.9,12541
20230528,CAPMIBBLMF,13.3,14.1,12.8,14.1,1023678
20230528,CENTRALINS,40.5,41.5,39.9,41,302849
20230528,CENTRALPHL,11.1,11.3,10.9,11,694287
