Date,Scrip,Open,High,Low,Close,Volume
20230725,00DS30,2166.69155,2171.4407,2161.26131,2162.34274,6609528000
20230725,00DSES,1374.48091,1377.37892,1372.33462,1373.12941,6609528000
20230725,00DSEX,6337.88849,6352.27795,6328.47764,6331.03042,6609528000
20230725,1JANATAMF,6.1,6.1,6.1,6.1,21904
20230725,1STPRIMFMF,15.5,15.5,15.2,15.2,116013
20230725,AAMRANET,64.4,64.4,62.5,62.9,493525
20230725,AAMRATECH,34,34.8,33.8,34,190146
20230725,ABB1STMF,5.2,5.2,5.2,5.2,850
20230725,ABBANK,9.7,9.7,9.7,9.7,13011
20230725,ACFL,26.5,26.5,26.5,26.5,240
20230725,ACI,260.2,260.2,260.2,260.2,1498
20230725,ACIFORMULA,155,155,155,155,976
20230725,ACMELAB,85,85.3,85,85,80868
20230725,ACMEPL,35.4,35.4,35.4,35.4,15
20230725,ACTIVEFINE,19.3,19.3,19.3,19.3,3
20230725,ADNTEL,147.8,150.1,143.2,145.4,1031830
20230725,ADVENT,25.5,25.6,25,25.1,1146295
20230725,AFCAGRO,23.5,23.5,23.5,23.5,101
20230725,AFTABAUTO,27.8,27.8,26.8,26.9,210200
20230725,AGNISYSL,28.2,28.2,27.5,27.6,1063486
20230725,AGRANINS,43.8,45.6,41.9,42.3,400761
20230725,AIBL1STIMF,7.3,7.3,7.3,7.3,50
20230725,AIL,89.1,94.8,86.7,93.5,1684760
20230725,AL-HAJTEX,188.8,189.9,181.1,185.1,197705
20230725,ALARABANK,23.7,24,23.7,23.9,13553
20230725,ALIF,13.3,13.3,13.3,13.3,3047
20230725,ALLTEX,17.5,17.5,17.5,17.5,53400
20230725,AMANFEED,33.5,33.5,33.5,33.5,3
20230725,AMBEEPHA,525.9,528.8,517.6,520,979
20230725,AMCL(PRAN),268,268.5,264.3,265.5,23559
20230725,ANLIMAYARN,36.1,36.3,33.1,35.2,156758
20230725,ANWARGALV,213.3,213.3,213.3,213.3,460
