,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
00DS30,2192.88,2037.59,7.08,2195.50,0.12
00DSEX,6336.15,5936.36,6.31,6208.96,2.01
BATBC,518.70,465.60,10.16,518.70,0.00
BBSCABLES,49.90,46.77,5.97,49.90,0.00
BEACONPHAR,245.00,336.77,37.08,286.11,16.78
BEXIMCO,115.60,100.35,13.20,115.60,0.00
BRACBANK,35.80,31.87,10.85,38.50,7.54
BSC,122.80,148.18,20.67,115.36,6.06
BSCCL,218.90,223.45,2.09,218.90,0.00
BSRMLTD,90.00,82.35,7.49,90.00,0.00
BXPHARMA,146.20,125.75,13.99,146.15,0.04
CITYBANK,21.40,19.32,9.59,21.80,1.87
DELTALIFE,153.20,112.81,26.25,136.50,10.90
FORTUNE,75.70,65.82,11.97,75.70,0.00
GP,286.60,258.36,9.79,286.60,0.00
GPHISPAT,44.80,40.61,9.00,44.80,0.00
IDLC,46.50,40.10,13.15,46.50,0.00
IFIC,11.20,9.29,16.89,11.50,2.68
ISLAMIBANK,32.60,33.43,2.54,33.00,1.23
LHBL,68.90,61.24,11.07,64.80,5.95
MPETROLEUM,200.10,198.06,1.02,198.60,0.75
OLYMPIC,150.50,108.73,27.76,124.03,17.59
ORIONPHARM,79.60,77.35,2.83,82.81,4.03
POWERGRID,52.40,47.82,7.61,52.40,0.00
RENATA,1217.90,1168.56,4.02,1217.90,0.00
ROBI,30.00,27.77,7.44,30.00,0.00
SEAPEARL,219.50,407.43,84.33,186.70,14.94
SOUTHEASTB,13.30,12.82,3.43,13.80,3.76
SQURPHARMA,209.80,206.42,1.61,209.80,0.00
TITASGAS,40.90,44.38,7.17,40.90,0.00
UNIQUEHRL,71.00,59.71,15.90,57.74,18.68
UPGDCL,233.70,225.43,3.33,233.70,0.00
,,,,,
Mean,,,12.86,,3.59
Median,,,9.30,,0.08
Range,,,83.31,,18.68
Min,,,1.02,,0.00
Max,,,84.33,,18.68
Standard Deviation,,,15.13,,5.72
