,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
00DS30,2199.05,2182.74,0.74,2195.50,0.16
00DSEX,6215.05,6183.11,0.51,6208.96,0.10
BATBC,518.70,514.49,0.81,518.70,0.00
BBSCABLES,49.90,49.61,0.57,49.90,0.00
BEACONPHAR,289.80,306.59,5.79,286.11,1.27
BEXIMCO,115.60,114.11,1.29,115.60,0.00
BRACBANK,38.50,37.90,1.57,38.50,0.00
BSC,126.10,118.53,6.01,115.36,8.52
BSCCL,218.90,219.39,0.22,218.90,0.00
BSRMLTD,90.00,89.34,0.74,90.00,0.00
BXPHARMA,146.30,144.20,1.44,146.15,0.10
CITYBANK,21.80,21.60,0.92,21.80,0.00
DELTALIFE,137.00,134.64,1.73,136.50,0.36
FORTUNE,75.70,74.88,1.08,75.70,0.00
GP,286.60,284.14,0.86,286.60,0.00
GPHISPAT,44.80,44.41,0.86,44.80,0.00
IDLC,46.50,45.95,1.18,46.50,0.00
IFIC,11.50,11.30,1.70,11.50,0.00
ISLAMIBANK,33.00,33.06,0.18,33.00,0.00
LHBL,64.80,64.47,0.50,64.80,0.00
MPETROLEUM,198.60,198.60,0.00,198.60,0.00
OLYMPIC,122.80,123.38,0.47,124.03,1.00
ORIONPHARM,85.90,82.32,4.16,82.81,3.60
POWERGRID,52.40,52.07,0.62,52.40,0.00
RENATA,1217.90,1214.06,0.32,1217.90,0.00
ROBI,30.00,29.85,0.51,30.00,0.00
SEAPEARL,223.00,203.28,8.84,186.70,16.28
SOUTHEASTB,13.80,13.72,0.58,13.80,0.00
SQURPHARMA,209.80,209.54,0.12,209.80,0.00
TITASGAS,40.90,41.22,0.64,40.90,0.00
UNIQUEHRL,60.60,56.36,7.00,57.74,4.73
UPGDCL,233.70,233.10,0.24,233.70,0.00
,,,,,
Mean,,,1.63,,1.13
Median,,,0.78,,0.00
Range,,,8.84,,16.28
Min,,,0.00,,0.00
Max,,,8.84,,16.28
Standard Deviation,,,2.17,,3.24
