,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
00DS30,2218.77,2140.72,3.52,2195.50,1.05
00DSEX,6199.20,6109.94,1.44,6208.96,0.16
BATBC,518.70,500.50,3.51,518.70,0.00
BBSCABLES,49.90,48.77,2.21,49.90,0.00
BEACONPHAR,300.30,314.98,4.89,286.11,4.73
BEXIMCO,115.60,109.94,4.89,115.60,0.00
BRACBANK,38.50,36.11,6.20,38.50,0.00
BSC,130.40,125.59,3.69,115.36,11.53
BSCCL,218.90,220.71,0.83,218.90,0.00
BSRMLTD,90.00,87.27,2.58,90.00,0.00
BXPHARMA,146.20,138.71,5.12,146.15,0.04
CITYBANK,21.80,20.94,3.94,21.80,0.00
DELTALIFE,136.50,128.34,5.85,136.50,0.00
FORTUNE,75.70,72.35,4.21,75.70,0.00
GP,286.60,276.85,3.32,286.60,0.00
GPHISPAT,44.80,43.42,3.09,44.80,0.00
IDLC,46.50,44.23,4.88,46.50,0.00
IFIC,11.50,10.70,6.92,11.50,0.00
ISLAMIBANK,33.40,33.14,0.79,33.00,1.20
LHBL,64.80,63.65,1.77,64.80,0.00
MPETROLEUM,198.60,198.39,0.10,198.60,0.00
OLYMPIC,146.60,119.34,18.59,124.03,15.39
ORIONPHARM,82.40,80.85,1.88,82.81,0.50
POWERGRID,52.40,50.99,2.27,52.40,0.00
RENATA,1217.90,1199.82,1.48,1217.90,0.00
ROBI,30.00,29.26,2.45,30.00,0.00
SEAPEARL,277.30,247.68,10.68,186.70,32.67
SOUTHEASTB,13.80,13.47,2.38,13.80,0.00
SQURPHARMA,209.80,208.56,0.59,209.80,0.00
TITASGAS,40.90,42.09,2.68,40.90,0.00
UNIQUEHRL,61.40,57.30,6.68,57.74,5.97
UPGDCL,233.70,231.06,1.02,233.70,0.00
,,,,,
Mean,,,3.89,,2.29
Median,,,3.21,,0.00
Range,,,18.49,,32.67
Min,,,0.10,,0.00
Max,,,18.59,,32.67
Standard Deviation,,,3.45,,6.45
