,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
ACB,23.90,13.72,42.58,21.89,8.39
BCM,62.90,100.17,59.25,80.64,28.21
BID,43.40,40.23,7.32,38.69,10.86
BVH,39.50,39.01,1.24,46.60,17.97
CTG,27.10,21.54,20.52,27.24,0.52
FPT,96.10,63.36,34.07,76.94,19.94
GAS,75.50,106.86,41.54,101.53,34.48
GVR,21.20,5.08,76.03,13.80,34.91
HDB,20.30,8.16,59.81,15.95,21.42
HPG,27.95,7.03,74.83,18.00,35.60
MBB,18.65,10.11,45.81,17.09,8.39
MSN,67.00,52.10,22.24,92.93,38.70
MWG,42.80,13.54,68.35,42.90,0.23
NVL,17.05,2.17,87.26,13.59,20.32
PDR,27.85,1.98,92.87,13.61,51.13
PLX,34.50,18.51,46.36,31.73,8.04
POW,11.25,6.34,43.65,10.64,5.38
SAB,63.00,188.03,198.46,167.36,165.65
SSI,32.80,5.94,81.89,17.72,45.99
STB,27.95,15.67,43.93,22.49,19.52
TCB,31.80,13.11,58.77,25.83,18.77
TPB,17.40,10.62,38.99,21.09,21.18
VCB,80.30,81.31,1.26,79.92,0.48
VHM,43.20,27.94,35.32,48.01,11.13
VIB,19.60,7.51,61.68,19.01,3.01
VIC,44.60,30.03,32.66,53.82,20.67
VJC,108.00,93.01,13.88,109.49,1.38
VN30INDEX,1131.46,657.67,41.87,1005.10,11.17
VNINDEX,1129.93,674.10,40.34,1006.91,10.89
VNM,67.60,66.79,1.20,76.12,12.60
VPB,19.20,8.91,53.61,17.90,6.76
VRE,23.30,23.64,1.44,26.32,12.96
,,,,,
Mean,,,47.78,,22.08
Media,,,43.12,,15.47
Range,,,197.26,,165.42
Min,,,1.20,,0.23
Max,,,198.46,,165.65
Standard Deviation,,,36.96,,28.96
