,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
00DS30,2231.25795,2167.907216944885,2.839238424,2195.495722124744,1.6
00DSEX,6288.33426,6160.6549437580425,2.030415543,6208.961969461005,1.26
BATBC,518.7,509.2692558780865,1.818150014,518.7,0.0
BBSCABLES,49.9,49.347473283119776,1.10726797,49.9,0.0
BEACONPHAR,322.0,309.3267600709382,3.935788798,286.1051822823265,11.15
BEXIMCO,115.6,112.71895703545958,2.492251699,115.6,0.0
BRACBANK,38.5,37.24180649908214,3.268035067,38.5,0.0
BSC,128.5,120.85056333940074,5.952868997,115.3613175198894,10.22
BSCCL,218.9,219.69236228824863,0.361974549,218.9,0.0
BSRMLTD,90.0,88.63115774206155,1.419343346,90.0,0.0
BXPHARMA,146.7,142.06297633378657,3.160888661,146.14869747191713,0.38
CITYBANK,21.8,21.36772826437916,1.98289787,21.8,0.0
DELTALIFE,136.5,132.51635851773807,2.918418668,136.5,0.0
FORTUNE,75.7,74.04641858667955,2.1843876,75.7,0.0
GP,286.6,281.4063665107104,1.812154044,286.6,0.0
GPHISPAT,44.8,44.09143411035962,1.581620289,44.8,0.0
IDLC,46.5,45.302167352346416,2.575984189,46.5,0.0
IFIC,11.5,11.08940459710351,3.570394808,11.5,0.0
ISLAMIBANK,33.1,33.08193345952364,0.054581693,33.0,0.3
LHBL,64.8,64.10597387859035,1.071027965,64.8,0.0
MPETROLEUM,198.6,198.54312032442635,0.02864032,198.6,0.0
OLYMPIC,133.9,121.951739163017,8.923271723,124.03290505576612,7.37
ORIONPHARM,84.8,81.89343372183896,3.427554573,82.81081832644774,2.35
POWERGRID,52.4,51.6675769714487,1.326308477,52.4,0.0
RENATA,1217.9,1208.8458511305632,0.743423013,1217.9,0.0
ROBI,30.0,29.6157253497608,1.280915501,30.0,0.0
SEAPEARL,283.3,218.01181328617568,23.04560068,186.7,34.1
SOUTHEASTB,13.8,13.633652196449006,1.205418866,13.8,0.0
SQURPHARMA,209.8,209.18834659794655,0.291541183,209.8,0.0
TITASGAS,40.9,41.54262696454621,1.341588044,40.9,0.0
UNIQUEHRL,70.3,56.68073073144391,19.37307151,57.73523322884919,17.87
UPGDCL,233.7,232.45786023800656,0.515227568,233.7,0.0
