,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
00DS30,2204.34962,2174.6192075094214,1.34871584,2195.495722124744,0.4
00DSEX,6255.93088,6173.302415947092,1.320802062,6208.961969461004,0.75
BATBC,518.7,511.4138623322011,1.404692051,518.7,0.0
BBSCABLES,49.9,49.47675951759055,0.848177319,49.9,0.0
BEACONPHAR,292.7,308.01126393615,5.231043367,286.10518228232644,2.25
BEXIMCO,115.6,113.43466829302324,1.873124314,115.6,0.0
BRACBANK,38.5,37.540188024811286,2.493018117,38.5,0.0
BSC,129.6,119.8801371708466,7.499894158,115.3613175198894,10.99
BSCCL,218.9,219.6853958685176,0.358792082,218.9,0.0
BSRMLTD,90.0,88.94445338052283,1.084315807,90.0,0.0
BXPHARMA,147.0,143.03037284131986,2.700426639,146.14869747191713,0.58
CITYBANK,21.8,21.47202531796878,1.504471018,21.8,0.0
DELTALIFE,136.6,133.5641888293157,2.222409349,136.5,0.07
FORTUNE,75.7,74.51745566159374,1.562145757,75.7,0.0
GP,286.6,282.7355985261773,1.348360598,286.6,0.0
GPHISPAT,44.8,44.26684914513429,1.190068872,44.8,0.0
IDLC,46.5,45.60991275784792,1.914166112,46.5,0.0
IFIC,11.5,11.182729889017178,2.75887053,11.5,0.0
ISLAMIBANK,33.3,33.071272387746255,0.686869706,33.0,0.9
LHBL,64.8,64.29483702739914,0.779572489,64.8,0.0
MPETROLEUM,198.6,198.57309186016536,0.013548912,198.6,0.0
OLYMPIC,123.0,122.7391918071398,0.212039181,124.03290505576612,0.84
ORIONPHARM,85.2,82.0321708323691,3.718109352,82.81081832644774,2.8
POWERGRID,52.4,51.85459488950184,0.960739,52.4,0.0
RENATA,1217.9,1211.1013450577211,0.558227682,1217.9,0.0
ROBI,30.0,29.723559844164587,0.921467186,30.0,0.0
SEAPEARL,245.0,211.27385640530088,13.7657729,186.7,23.8
SOUTHEASTB,13.8,13.669404016971972,0.946347703,13.8,0.0
SQURPHARMA,209.8,209.4059002380726,0.187845454,209.8,0.0
TITASGAS,40.9,41.35173477686419,1.055506374,40.9,0.0
UNIQUEHRL,62.5,56.4733975867284,9.642563861,57.73523322884919,7.62
UPGDCL,233.7,232.697596085978,0.36359198,233.7,0.0
