,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
00DS30,2191.50951,2187.564266265936,0.18002403,2195.4957199596333,0.18
00DSEX,6192.30575,6191.953300051276,0.00569174,6208.961928559115,0.27
BATBC,518.7,516.1223862512511,0.496937295,518.7,0.0
BBSCABLES,49.9,49.73206341126704,0.33654627,49.9,0.0
BEACONPHAR,279.6,305.8370272502437,9.383772264,286.10517938310824,2.33
BEXIMCO,115.6,114.770506009632,0.717555355,115.6,0.0
BRACBANK,38.5,38.13594121149347,0.945607243,38.5,0.0
BSC,114.0,117.58881529244442,3.14808359,115.36131751908005,1.19
BSCCL,218.9,219.28779507747103,0.177156271,218.9,0.0
BSRMLTD,90.0,89.58626790070866,0.459702333,90.0,0.0
BXPHARMA,146.2,145.07355697371094,0.770480866,146.14869796952095,0.04
CITYBANK,21.8,21.68084731233287,0.546571962,21.8,0.0
DELTALIFE,136.6,135.32383816589262,0.934232675,136.5,0.07
FORTUNE,75.7,75.21153705630714,0.645261484,75.7,0.0
GP,286.6,285.1605645876025,0.502245433,286.6,0.0
GPHISPAT,44.8,44.55633495372993,0.543895193,44.8,0.0
IDLC,46.5,46.18023415285009,0.687668488,46.5,0.0
IFIC,11.5,11.39009921948682,0.955658961,11.5,0.0
ISLAMIBANK,32.9,33.03604238189486,0.413502681,33.0,0.3
LHBL,64.8,64.56318172283838,0.365460304,64.8,0.0
MPETROLEUM,198.6,198.55223729066785,0.024049703,198.6,0.0
OLYMPIC,124.0,123.872765270166,0.102608653,124.0329050557658,0.03
ORIONPHARM,81.2,82.52870194112803,1.63633244,82.81081826131384,1.98
POWERGRID,52.4,52.22178444068852,0.313212663,52.4,0.0
RENATA,1217.9,1215.9894838706364,0.156869704,1217.9,0.0
ROBI,30.0,29.902514383772232,0.324952054,30.0,0.0
SEAPEARL,214.0,198.23640953138693,7.36616377,186.7,12.76
SOUTHEASTB,13.8,13.754378880981273,0.330587819,13.8,0.0
SQURPHARMA,209.8,209.69581827812613,0.049657637,209.8,0.0
TITASGAS,40.9,41.05873915203277,0.316921934,40.9,0.0
UNIQUEHRL,57.0,56.16055505122768,1.472710436,57.73523322879444,1.29
UPGDCL,233.7,233.2746481994184,0.151378518,233.7,0.0
