,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
00DS30,2218.77336,2140.7155264984603,3.518062498,2195.495722124744,1.05
00DSEX,6199.20375,6109.935653167484,1.439992948,6208.961969461005,0.16
BATBC,518.7,500.4988751356259,3.508988792,518.7,0.0
BBSCABLES,49.9,48.76806041951414,2.210842984,49.9,0.0
BEACONPHAR,300.3,314.9767536205587,4.887363843,286.1051822823265,4.73
BEXIMCO,115.6,109.94429491360634,4.892478448,115.6,0.0
BRACBANK,38.5,36.11490241106545,6.195058673,38.5,0.0
BSC,130.4,125.59106881648296,3.687830662,115.3613175198894,11.53
BSCCL,218.9,220.70960852097025,0.826682741,218.9,0.0
BSRMLTD,90.0,87.27489496675862,2.580763963,90.0,0.0
BXPHARMA,146.2,138.70730825317045,5.124960155,146.14869747191713,0.04
CITYBANK,21.8,20.940638531006417,3.942025087,21.8,0.0
DELTALIFE,136.5,128.3377913759419,5.852116356,136.5,0.0
FORTUNE,75.7,72.34853668055712,4.209595759,75.7,0.0
GP,286.6,276.84894408431705,3.321690415,286.6,0.0
GPHISPAT,44.8,43.41604242943443,3.089191006,44.8,0.0
IDLC,46.5,44.22891635191597,4.884050856,46.5,0.0
IFIC,11.5,10.704323717129991,6.918924199,11.5,0.0
ISLAMIBANK,33.4,33.13733799535654,0.786413188,33.0,1.2
LHBL,64.8,63.651804346943656,1.771906872,64.8,0.0
MPETROLEUM,198.6,198.39326887288053,0.104094223,198.6,0.0
OLYMPIC,146.6,119.3443582393131,18.59184295,124.03290505576612,15.39
ORIONPHARM,82.4,80.8501078453734,1.880937081,82.81081832644774,0.5
POWERGRID,52.4,50.98932705919015,2.271262793,52.4,0.0
RENATA,1217.9,1199.8203725411004,1.48449195,1217.9,0.0
ROBI,30.0,29.264697264946125,2.451009117,30.0,0.0
SEAPEARL,277.3,247.6834705256813,10.68032076,186.7,32.67
SOUTHEASTB,13.8,13.471272524224077,2.382083158,13.8,0.0
SQURPHARMA,209.8,208.5638427489594,0.58920746,209.8,0.0
TITASGAS,40.9,42.08746923189,2.678293958,40.9,0.0
UNIQUEHRL,61.4,57.2968017551601,6.682733298,57.73523322884919,5.97
UPGDCL,233.7,231.0631766325296,1.019288965,233.7,0.0
