,1_week,2_week,3_week,1_month,2_month,6_month,12_month
Mean,6.01,10.4,13.2,10.86,13.53,28.59,47.78
Median,5.59,10.05,12.59,10.99,12.14,26.44,43.12
Range,14.61,18.67,22.37,24.54,26.0,66.76,197.26
Min,0.0,1.62,1.58,0.07,1.02,1.06,1.2
Max,14.61,20.29,23.95,24.61,27.03,67.82,198.46
Standard Deviation,3.28,4.92,5.73,6.25,8.22,18.51,37.55
